Uid;Assets;WirePhaseInfo;phaseWireCount;type
c82c83af-2b56-4f0a-aaa7-2e1014038ee7;1;1;0;?????????
23d4442b-0440-4b4a-b9e6-c2371540732b;1;1;0;?????????
709b1af0-62b7-4307-94eb-3ba8ceb8e6b3;1;1;0;?????????
0ddc0fdf-5b08-4c7e-8075-ecd39d192601;1;1;0;?????????
5185e720-071b-4f02-8697-30a55cd1b11a;1;1;0;?????????
ecd8dfde-947e-46ba-922f-8ba3dd6258ec;1;1;0;?????????
ce1ff323-f8fd-4320-8481-96cd9187a7da;1;1;0;?????????
d8d687ac-f43f-4f27-9450-d18d555760b4;1;1;0;?????????
9e38f12b-acac-40df-ad1b-5723ff90d60d;2;1;0;?????????
9e38f12b-acac-40df-ad1b-5723ff90d60d;2;1;0;?????????
5a7e9e21-6c52-4c62-b1dd-e445df0d840a;2;1;0;?????????
5a7e9e21-6c52-4c62-b1dd-e445df0d840a;2;1;0;?????????
f9bee174-d436-41f3-b292-ceb531c9ac88;1;1;0;?????????
29e4d715-8ce7-45aa-9d81-b9e6ea0d8d7d;1;1;0;?????????
a88d7ca4-30ba-4cff-a3be-de0202fabde6;1;1;0;?????????
6925748e-0fe0-4e2e-b2f8-bbc4f0de104b;1;1;0;?????????
da2de52c-9424-4e18-b48c-bb65860b0803;1;1;0;?????????
3f5995f1-7fd5-4595-a053-ada1ebfb5724;1;1;0;?????????
92397a93-cf3f-450f-abb0-d01eb1b41229;1;1;0;?????????
708ebfc6-8647-4bd1-af22-e0f67c7ecc9d;1;2;0;?????????
1796b394-1f28-4850-afb8-589065fc6f91;1;1;0;?????????
3abd51ef-9fea-4869-b0b6-50f1ca53103d;1;1;0;?????????
1302fe85-2d55-4d3d-9767-bcbaa294ac32;1;1;0;?????????
2d2c41ab-a896-47cf-acac-cad10026e91c;1;1;0;?????????
bd1aefbb-6aa1-4b81-9e59-e1bd84d2f78d;1;1;0;?????????
bbf44e3d-844f-4bcb-95ff-9cc299af670e;1;1;0;?????????
90a2d450-d50e-434e-ad56-ca93f99e2ed6;1;1;0;?????????
525cbf42-1259-47d7-b9c8-e93c87ca299b;1;1;0;?????????
cf084c4a-9231-4053-b987-75858a86fecc;1;1;0;?????????
0ea4da64-d127-4ebe-abf3-054c1cac2562;2;1;0;?????????
0ea4da64-d127-4ebe-abf3-054c1cac2562;2;1;0;?????????
168c9193-0dee-4308-a9ff-66dd8111c5c6;1;1;0;?????????
4f9642be-2e89-4fa2-8967-c93ee8d8ad17;1;1;0;?????????
81060cb0-e593-4ad6-bc68-04cbe2f7433e;1;1;0;?????????
d26ca0b2-6522-46d4-980a-b86197f77095;1;1;0;?????????
860a4a45-ab02-4be2-b5db-5f73ec8c6329;1;1;0;?????????
30c6fd29-da3c-4411-a475-f6c1a1f9dd50;1;1;0;?????????
46c4b3fe-bbc4-49da-b612-0f1a018ffef1;1;1;0;?????????
aa42a6f5-618b-4d90-81fd-d4708243b259;1;1;0;?????????
035cbbe7-18fd-4f65-b3a7-bab543a10aaf;1;1;0;?????????
8b02b4dd-1622-4461-860b-e7137d45e6cd;1;1;0;?????????
1d62cf43-d333-4e09-bbf0-6b7a85e7a19d;1;1;0;?????????
bf82ae22-5d8c-4ffd-9145-a16a4ea358d7;2;1;0;?????????
bf82ae22-5d8c-4ffd-9145-a16a4ea358d7;2;1;0;?????????
d4dfa59e-f7d2-4b1c-be55-21e5f007835c;1;1;0;?????????
e54b6213-3645-4a3f-b945-31bc7ca3eff6;2;1;0;?????????
e54b6213-3645-4a3f-b945-31bc7ca3eff6;2;1;0;?????????
c0d1aa57-3d9e-42d0-9ba8-aa5d26cdc2c0;1;1;0;?????????
ca58640c-28bd-447d-ad40-b42df3143d58;1;1;0;?????????
3114e80b-6ca3-45cd-a471-2045ffba50f1;1;1;0;?????????
f5fb3180-059d-4d5d-b0b0-6c1c51a0c6df;1;1;0;?????????
1b8c4093-0dd4-4510-bd99-e11edfe9f708;1;1;0;?????????
8c14de29-6d2b-4e27-93f3-32206c8f4c58;1;1;0;?????????
ad290116-8f5b-4b97-8625-05c0439e5f17;1;1;0;?????????
ed04030b-d805-4e7c-853b-c6088829761c;1;1;0;?????????
ea7ffaae-332c-4115-bf51-5a9c69a3247a;1;1;0;?????????
f4fb6385-0032-4ab6-991f-0c4669675403;2;1;0;?????????
f4fb6385-0032-4ab6-991f-0c4669675403;2;1;0;?????????
d6f3cfe3-1c08-4f4c-9191-d02c6195789b;2;1;0;?????????
d6f3cfe3-1c08-4f4c-9191-d02c6195789b;2;1;0;?????????
156db6d4-7038-423c-b1c9-17c75adbf553;1;1;0;?????????
d43db554-2a66-4f51-a803-ae00d38a8fc8;1;1;0;?????????
7db4aec6-bd55-41ac-8a2a-9dc5e42374ff;2;1;0;?????????
7db4aec6-bd55-41ac-8a2a-9dc5e42374ff;2;1;0;?????????
00bee74c-c312-4253-a5ef-90ec6b2e6560;1;1;0;?????????
00db5008-3937-4b52-b0b4-89d07f9fa705;1;1;0;?????????
91139de3-136a-4241-9a3b-9e6ad70cd6be;1;1;0;?????????
08c94b31-0c2b-4cad-b211-4128a7269ba7;1;1;0;?????????
5b116a5e-0daa-4ec7-8225-19d816af537d;2;1;0;?????????
5b116a5e-0daa-4ec7-8225-19d816af537d;2;1;0;?????????
62fa5f6d-223e-4272-9e9d-be71e093b349;1;1;0;?????????
602242ad-0f7a-445a-9a32-fa263b3bcd0a;1;1;0;?????????
d2c01728-4379-4cb0-8a62-05fcbd91a6ba;1;1;0;?????????
f51dfbf3-d803-4081-a764-0050e8f08e3f;1;1;0;?????????
c308544b-b6b5-4861-87f5-8722e662c962;1;1;0;?????????
ccc74724-ac07-4ebf-a21f-22ea1f732117;1;1;0;?????????
65286968-a32c-4882-82cb-bb8835ff513a;1;1;0;?????????
b878fd75-f603-4524-bf77-4a29df339b9f;1;1;0;?????????
f702bb7a-cfbd-4e7f-9f7c-77063a8b4b7e;2;1;0;?????????
f702bb7a-cfbd-4e7f-9f7c-77063a8b4b7e;2;1;1;?????????
525ec990-f3d2-46d2-99a0-0c11cf2639ee;1;1;0;?????????
e2126c6e-56f5-47a5-894c-12c845552e61;1;1;0;?????????
f45ef372-cecb-493e-80f1-5fcfe5252244;1;1;0;?????????
21dc428c-7781-4caf-80fc-bb65b12dac81;2;1;0;?????????
21dc428c-7781-4caf-80fc-bb65b12dac81;2;1;0;?????????
ca2c8a30-de23-4c41-9e29-efcb2fbac31c;1;1;0;?????????
78551bc8-aa5e-472b-9111-7a9eee50ff26;1;1;0;?????????
1f7c13ef-7c20-4224-ad71-e9f304565797;1;1;0;?????????
32c58a95-67aa-4c6b-b510-81a6205470c7;1;1;0;?????????
596280f2-1729-436f-a23d-d891b4d630b5;1;1;0;?????????
eed0f937-26ad-4ae2-9714-e421526ad9f2;1;1;0;?????????
