r,x,PSRType(A),cluster
3.9772,6.9764,1,0
2.05,3.587,1,0
2.3912,4.1944,1,0
0.488,0.854,1,0
1.025,1.793,1,0
0.8298125,1.45190625,1,0
0.36,0.95,1,0
0.3657,0.5419,1,0
3.364,8.288,1,0
0.01,0.01,1,0
6.583,6.908,1,0
0.589,1.45,1,0
0.0048,0.0122,1,0
0.01,0.01,1,0
0.01,0.01,1,0
0.0167,0.0339,1,0
0.1,0.21,1,0
6.0,10.0,1,0
0.33,1.34,1,0
0.46,0.64,1,0
5.55228703703704,9.30199074074074,1,0
5.14393277310924,8.61956302521008,1,0
5.55228703703704,9.30199074074074,1,0
5.14393277310924,8.61956302521008,1,0
2.27716535433071,3.79527559055118,1,0
0.6,1.55,1,0
0.13,0.34,1,0
0.2832,0.972,1,0
0.146,0.246,1,0
0.146,0.246,1,0
0.352,0.489,1,0
0.442,0.614,1,0
0.61,1.026,1,0
0.634,1.067,1,0
0.03,0.042,1,0
1.45,2.193,1,0
3.672,5.099,1,0
0.783,1.114,1,0
0.813,1.157,1,0
0.06,0.084,1,0
0.843,1.17,1,0
1.73,1.757,1,0
16.494,27.748,1,1
16.494,27.748,1,1
0.736,2.48,1,0
0.736,2.48,1,0
0.708,2.331,1,0
0.708,2.331,1,0
0.082,0.168,1,0
0.082,0.168,1,0
0.1,0.4,0,2
12.04,16.84,1,1
2.0677,5.1596,1,0
0.01,0.01,1,0
0.1,0.1,1,0
0.04,0.04,1,0
0.1,0.1,0,2
0.44,0.77,1,0
1.39,2.43,1,0
0.868,1.413,1,0
3.8983,9.7276,1,0
4.01,8.51,1,0
0.6327,1.5788,1,0
0.1,0.1,0,2
7.32,24.86,1,1
7.812,12.717,1,0
12.04,16.84,1,1
0.04,0.04,1,0
5.06,8.6,1,0
0.046,0.108,0,2
0.046,0.108,0,2
6.01,15.61,1,0
3.26,8.48,1,0
3.76,8.33,1,0
0.1,0.4,0,2
0.1,0.4,0,2
8.71,15.24,1,1
0.43,1.12,1,0
0.82,2.12,1,0
13.05,23.26,1,1
7.08,12.32,1,0
0.314,0.538,1,0
2.47,4.236,1,0
3.781,8.021,1,0
0.414,0.71,1,0
3.816,6.543,1,0
0.196,0.64,1,0
0.017,0.029,1,0
0.004,0.008,1,0
1.839,3.154,1,0
0.017,0.029,1,0
0.0,0.01,1,0
3.31,7.021,1,0
0.601,1.031,1,0
2.197,5.6,1,0
9.735,16.695,1,1
5.934,11.5,1,0
1.221,3.652,1,0
0.13464,0.2772,1,0
6.7,11.5,1,0
6.7,11.5,1,0
1.098,1.9215,1,0
0.122,0.2135,1,0
4.75068,8.31369,1,0
0.185435491843796,0.324512110726644,1,0
9.08676735688185,15.9016808769793,1,1
0.059,0.102,1,0
2.933,5.133,1,0
0.071,0.124,1,0
4.521,7.912,1,0
1.46674,5.03415,1,0
